brand,p_name,sku_id,weight,local,control,inch,connect,communicate,materal,IPXX,xuhang,display,funy,severce,is_bluetooth_talk,people,function
小米（MI）,['小米小米手环4'],['100003687193'],['60.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['潜水'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
小米（MI）,['小米小米手环4XMSH07HM'],['100006188596'],['65.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['18-20'],['彩屏'],['潜水'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
小米（MI）,['小米小米手环4'],['100003687193'],['60.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['潜水'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
小米（MI）,['小米小米手环4XMSH07HM'],['100006188596'],['65.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['18-20'],['彩屏'],['潜水'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,['华为手环5'],['100006756254'],['75.00'],['中国大陆'],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,['华为手环5'],['100006756282'],['75.00'],['中国大陆'],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['其他'],['50米防水'],['14-16'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,['华为TER'],['100003822240'],['140.00'],['中国大陆'],['多点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['7'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,['华为Janus'],['100006360444'],['245.00'],['广东深圳'],['多点触控'],['1.0-1.2'],['支持蓝牙'],['来电提醒'],['其他'],['生活防水'],['7'],['彩屏'],['跑步'],['一年质保'],['支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米'],['26301985127'],['65.00'],[],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['生活防水'],['7-10'],['彩屏'],['无'],[],['不支持蓝牙通话'],['女士'],['消息提醒']
华为（HUAWEI）,['华为华为荣耀手环4'],['100000018890'],['70.00'],['中国大陆'],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['通用'],['消息提醒']
小米（MI）,['小米手环3'],['7545792'],['56.00'],['中国大陆'],['全屏触控'],['0.8'],['支持蓝牙'],['来电提醒'],['其他'],['生活防水'],['18-20'],['黑白屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米小米米兔儿童手表2'],['4279279'],['170.00'],['中国大陆'],[],[],[],[],['TPU'],['生活防水'],['4-7'],['彩色触屏'],['5种以下'],[],[],['儿童'],[]
华为（HUAWEI）,['华为'],['35162573913'],['288.00'],[],[],[],[],[],['其他'],['50米防水'],['8-15'],['彩色触屏'],['10'],[],[],['男士'],[]
小米（MI）,['小米小米手环3'],['100000383225'],['85.00'],['中国大陆'],['全屏触控'],['0.8'],['支持蓝牙'],['来电提醒'],['其他'],['50米防水'],['10-12'],['黑白屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为AW70'],['100002285538'],['60.00'],['中国大陆'],['单点触控'],['0.8'],['支持蓝牙'],['来电提醒'],[],['50米以上防水'],['12-14'],['黑白屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,[],['34751132184'],['200.00'],[],[],[],[],[],['硅胶'],['50米及以上防水'],['8-15'],['彩色触屏'],[],[],[],['通用'],[]
Keep,['KeepB1'],['100004601380'],['55.00'],['中国北京'],['多点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['50米防水'],['7-10'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为电话手表WATCH2'],['28938922242'],['0.6'],[],[],[],[],[],['皮革'],['生活防水'],['3'],['彩色触屏'],[],[],[],['男士'],[]
华为（HUAWEI）,[],['29997056215'],['500.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,[],['43227512448'],['25.0'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,[],['27187085375'],['54.0'],['中国大陆'],[],[],[],[],['硅胶'],['生活防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],['儿童'],[]
华为（HUAWEI）,['华为'],['35157169282'],['460.00'],[],[],[],[],[],['皮革'],['50米防水'],['16-30'],['彩色触屏'],[],[],[],['男士'],[]
华为（HUAWEI）,[],['30241014257'],['40.0'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为荣耀手环4'],['100000101418'],['70.00'],['中国大陆'],['全屏触控'],['0.8'],['支持蓝牙'],['来电提醒'],['皮革'],['50米防水'],['7'],['其他'],['跑步'],[],['支持蓝牙通话'],['男士'],['消息提醒']
脉迹（mystrace）,['脉迹MS'],['100003436905'],['380.00'],['中国大陆'],['非触控屏'],['0.8'],['支持蓝牙'],['无'],['其他'],['生活防水'],['7-10'],['黑白屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['老人'],['心率监测']
华为（HUAWEI）,['华为手环B3青春版'],['35670020152'],['300.00'],[],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['生活防水'],['7'],['黑白屏'],['跑步'],['30天无忧退'],['支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为荣耀智能手表Watch'],['12615251692'],['0.7'],['中国大陆'],[],[],[],[],['其他'],['50米及以上防水'],['4-7'],['其他'],[],['一年质保'],[],['通用'],[]
特兰恩（Tralean）,['特兰恩'],['56272799350'],['200.00'],[],['非触控屏'],['0.8-1.0'],['支持蓝牙'],['无'],['其他'],['生活防水'],['7'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['心率监测']
小米（MI）,['小米'],['50038177034'],['20.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
乐心（lifesense）,['乐心mambo5'],['100000731746'],['120.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['30米防水'],['24'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,[],['26400516161'],['400.00'],['中国大陆'],[],[],[],[],['橡胶'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['通用'],[]
华为（HUAWEI）,[],['35322284851'],['460.00'],[],[],[],[],[],['硅胶'],['50米防水'],['8-15'],['彩色触屏'],[],[],[],['男士'],[]
华为（HUAWEI）,['华为'],['31166694752'],['120.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fitbit,['FitbitInspire'],['100004110614'],['100.00'],['中国大陆'],['多点触控'],['0.8'],['支持蓝牙'],['来电提醒'],['其他'],['50米防水'],['7'],['黑白屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['30603439567'],['40.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,[],['30001221231'],['80.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
小米（MI）,[],['49879464323'],['300.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['41540395617'],['1.0'],[],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],['无'],['一年质保'],[],['儿童'],[]
小寻,['小寻小寻儿童电话手表S2'],['100000317694'],['180.00'],['中国大陆'],[],[],[],[],['硅胶'],['生活防水'],['4-7'],['彩色触屏'],['5种以下'],['一年质保'],[],['男士'],[]
华为（HUAWEI）,['华为'],['15897202879'],['250.00'],[],['非触控屏'],['0.8-1.0'],[],[],[],['生活防水'],['7'],['黑白屏'],['跑步'],[],[],['通用'],['睡眠监测']
华为（HUAWEI）,['华为荣耀手环5'],['52506057738'],['100.00'],[],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['无'],['硅胶'],['50米防水'],['7-10'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
小米（MI）,['小米'],['53800419037'],['20.00'],['中国大陆'],['单点触控'],['0.8'],['支持蓝牙'],['短信收发'],[],['50米以上防水'],['7'],['彩屏'],['器械训练'],[],['支持蓝牙通话'],['老人'],['睡眠监测']
ADZ,['ADZP11'],['43949892253'],['200.00'],[],['单点触控'],['0.8-1.0'],[],[],['硅胶'],['生活防水'],[],['彩屏'],['跑步'],[],[],['男士'],['消息提醒']
dido,['didoG19'],['10868334431'],['130.00'],['中国大陆'],['单点触控'],['0.8'],['支持蓝牙'],['来电提醒'],['硅胶'],['30米防水'],['7-10'],['黑白屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['心率监测']
华为（HUAWEI）,['华为'],['45191826441'],['215.00'],['中国大陆'],[],[],[],[],['橡胶'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['通用'],[]
全程通,['全程通全程通BY51'],['100001825765'],['120.00'],['中国大陆'],['单点触控'],['0.8-1.0'],[],[],['硅胶'],['30米防水'],['7-15'],['彩屏'],['跑步'],['30天无忧退'],['支持'],['男士'],['消息提醒']
欧坦,['欧坦Z28'],['50564619598'],['150.00'],['中国大陆'],[],[],[],[],['TPU'],['生活防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],['男士'],[]
Keep,['KeepB1'],['48700665132'],['20.00'],[],['多点触控'],['0.8-1.0'],['支持WIFI'],['来电提醒'],['TPU'],['生活防水'],['7'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['通用'],['消息提醒']
爱多（IDALL）,['爱多'],['41421937472'],['0.83'],['中国大陆'],['单点触控'],['1.2'],['支持蓝牙'],['来电提醒'],['皮革'],['30米防水'],[],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米'],['10964787858'],['37.00'],['中国大陆'],[],[],[],[],['TPU'],['生活防水'],['3'],['其他'],[],[],[],['儿童'],[]
360,['360'],['46631869098'],['100.00'],['中国大陆'],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],[],[],[],['儿童'],[]
华为（HUAWEI）,['华为荣耀智能手表Watch'],['28113234949'],['400.00'],[],[],[],[],[],['皮革'],['50米及以上防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],['男士'],[]
华为（HUAWEI）,['华为智能手表WATCH2'],['20046867943'],['58.00'],[],[],[],[],[],['皮革'],['生活防水'],['3'],['彩色触屏'],[],[],[],[],[]
华为（HUAWEI）,['华为荣耀小K2儿童电话手表防水GPS定位360度智能手环3s'],['40056448379'],['50.00'],[],[],[],[],[],['硅胶'],['生活防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],['儿童'],[]
NOERDEN,['NOERDEN'],['11102218233'],['60.00'],[],[],[],[],[],['硅胶'],['50米及以上防水'],['30'],['其他'],[],['一年质保'],[],['通用'],[]
华为（HUAWEI）,[],['16981236264'],['400.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,[],['14703117638'],['21.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为儿童电话手表3'],['41550779037'],['480.00'],[],[],[],[],[],['TPU'],['生活防水'],['3'],['彩色触屏'],[],['一年质保'],[],['儿童'],[]
全程通,['全程通W8'],['100005667668'],['120.00'],['中国大陆'],['单点触控'],['1.2'],['支持蓝牙'],['来电提醒'],['TPU'],['30米防水'],['7-10'],['彩屏'],['跑步'],['30天无忧退'],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,[],['30498886629'],['0.8'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
小米（MI）,['小米'],['12355585097'],['140.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
