price,name,store,link
229.00,小米,小米京东自营旗舰店,//item.jd.com/100003687193.html
169.00,小米,小米京东自营旗舰店,//item.jd.com/100006188596.html
189.00,荣耀,荣耀京东自营旗舰店,//item.jd.com/100006756254.html
219.00,荣耀,荣耀京东自营旗舰店,//item.jd.com/100006756282.html
269.00,华为,华为京东自营官方旗舰店,//item.jd.com/100003822240.html
898.00,华为,华为京东自营官方旗舰店,//item.jd.com/100006360444.html
229.00,【自营仓】小米（MI）,圆讯优选旗舰店,//item.jd.com/26301985127.html
179.00,荣耀,荣耀京东自营旗舰店,//item.jd.com/100000018890.html
169.00,小米,小米京东自营旗舰店,//item.jd.com/7545792.html
399.00,小米 米兔儿童电话手表2 学生运动,小米京东自营旗舰店,//item.jd.com/4279279.html
1188.00,华为手表WATCH GT 运动智能手表男女 成人心率睡眠检测2周续航防水NFC蓝牙,华为澳先专卖店,//item.jd.com/35162573913.html
199.00,小米,小米京东自营旗舰店,//item.jd.com/100000383225.html
109.00,华为,华为京东自营官方旗舰店,//item.jd.com/100002285538.html
1388.00,【领券直降】华为智能手表WATCH GT 两周续航 户外运动,华为沃德专营店,//item.jd.com/34751132184.html
169.00,Keep 运动智能,Keep智能运动京东自营旗舰店,//item.jd.com/100004601380.html
2488.00,华为电话手表WATCH2 智能手表男女成人初中高中学生4G插卡蓝牙穿戴GT运动,华为卓瑞尔专卖店,//item.jd.com/28938922242.html
899.00,【直降100元】华为,华为卓瑞尔专卖店,//item.jd.com/29997056215.html
379.00,【咨询领券】华为,秒通数码专营店,//item.jd.com/43227512448.html
888.00,【限时直降100】华为儿童电话手表3pro学生GPS定位防水智能手表4G全网通视频通话男女孩礼物,秒通数码专营店,//item.jd.com/27187085375.html
1188.00,【直降100元】华为手表WATCH GT智能手表男女成人蓝牙穿戴运动,华为卓瑞尔专卖店,//item.jd.com/35157169282.html
1099.00,【限时直降100】华为,秒通数码专营店,//item.jd.com/30241014257.html
99.00,荣耀,荣耀京东自营旗舰店,//item.jd.com/100000101418.html
1299.00,脉迹mystrace 心血管健康监测智能,脉迹（mystrace）京东自营旗舰店,//item.jd.com/100003436905.html
449.00,华为,华为卓瑞尔专卖店,//item.jd.com/35670020152.html
699.00,华为荣耀智能手表Watch Magic运动,千百回智能专营店,//item.jd.com/12615251692.html
359.00,ZNNCO 智能血压,ZNNCO京东自营旗舰店,//item.jd.com/55062471627.html
398.00,特兰恩（Tralean） 智能,精选贸易数码专营店,//item.jd.com/56272799350.html
229.00,小米（MI） 小米,圆迈智能旗舰店,//item.jd.com/50038177034.html
129.00,乐心,乐心京东自营官方旗舰店,//item.jd.com/100000731746.html
1188.00,【送皮+钢表带】华为手表watch gt运动智能手表蓝牙心率睡眠监测防水2周续航NFC支付,秒通数码专营店,//item.jd.com/26400516161.html
1188.00,【领券减100】华为智能手表Watch GT蓝牙无线心率监测智能穿戴计步器2周续航支付,屹林智能专营店,//item.jd.com/35322284851.html
899.00,【直降100元】华为,华为中联智能专卖店,//item.jd.com/31166694752.html
698.00,Fitbit Inspire HR 智能心率,fitbit京东自营官方旗舰店,//item.jd.com/100004110614.html
1599.00,华为（HUAWEI） 彩屏全触控智能,智辰熙数码专营店,//item.jd.com/30603439567.html
999.00,【领券直降】华为,华为沃德专营店,//item.jd.com/30001221231.html
229.00,【自营仓速发】小米（MI）,智联万物箱包专营店,//item.jd.com/49879464323.html
388.00,【咨询客服立减】华为儿童电话手表3/3pro智能七重定位高清拍照插卡通话防水男女孩学生荣耀,港讯智能专营店,//item.jd.com/41540395617.html
229.00,小寻Mibro 儿童电话手表S2 生活防水 GPS定位防丢 学生儿童定位手机 智能,小寻京东自营官方旗舰店,//item.jd.com/100000317694.html
449.00,华为（HUAWEI） 【咨询享豪礼】华为,华为中联智能专卖店,//item.jd.com/15897202879.html
359.00,智能血压,斯泰克官方旗舰店,//item.jd.com/46593937381.html
195.00,华为荣耀,港讯智能专营店,//item.jd.com/52506057738.html
229.00,小米（MI） ,小米爆米花专卖店,//item.jd.com/53800419037.html
499.00,ADZ 监测血压心率自动报警心电图心脏心跳脉搏彩屏多功能智能,ADZ旗舰店,//item.jd.com/43949892253.html
419.00,dido G19智能,dido旗舰店,//item.jd.com/10868334431.html
1388.00,【新品】华为智能手表WATCH GT 两周续航 户外运动,华为沃德专营店,//item.jd.com/45191826441.html
298.00,全程通BY51彩屏智能通话,全程通京东自营旗舰店,//item.jd.com/100001825765.html
1506.00,欧坦 【升级双系统】智能手表男4G全网通wifi上网可插卡拍照电话手表成年学生智能,欧坦官方旗舰店,//item.jd.com/50564619598.html
169.00,Keep 运动智能,Keep旗舰店,//item.jd.com/48700665132.html
699.00,爱多（IDALL） 血压,IDALL旗舰店,//item.jd.com/41421937472.html
325.00,小米（MI） 米兔智能儿童电话手表2女孩男孩学生手表手机通话GPS定位防水防丢,圆迈智能旗舰店,//item.jd.com/10964787858.html
399.00,360 儿童电话手表8X 4G视频通话定位支付防水手机男女孩小学生拍照智能gps多功能运动,瑞达鼎峰数码专营店,//item.jd.com/46631869098.html
699.00,华为荣耀智能手表Watch Magic 运动,华为沃德专营店,//item.jd.com/28113234949.html
3979.00,华为（HUAWEI） 智能手表WATCH2 pro电话手表独立通话运动计步GT定位心率NFC男女,金米数码专营店,//item.jd.com/20046867943.html
295.00,华为荣耀小K2儿童电话手表防水GPS定位360度智能,千百回智能专营店,//item.jd.com/40056448379.html
399.00,NOERDEN 牛丁 智能手表 瑞士机芯 LIFE2运动时尚男女士腕表 防水计步电话提醒,NOERDEN官方旗舰店,//item.jd.com/11102218233.html
414.00,【直降】华为智能运动,华为沃德专营店,//item.jd.com/16981236264.html
379.00,【咨询享豪礼】华为,华为中联智能专卖店,//item.jd.com/14703117638.html
387.00,华为儿童电话手表3 360度防水GPS七重定位 小天男女学生移动2G通话 高清拍照智能,华为沃德专营店,//item.jd.com/41550779037.html
169.00,全程通W8智能运动手表彩屏,全程通京东自营旗舰店,//item.jd.com/100005667668.html
168.00,智力快车儿童电话手表Z6 学生智能触屏拍照手表电话 游泳防水防丢定位,智力快车京东自营旗舰店,//item.jd.com/3510705.html
899.00,【直降100元】华为,华为中联智能专卖店,//item.jd.com/30498886629.html
349.00,爱牵挂S5小鲸老人定位,爱牵挂京东自营旗舰店,//item.jd.com/100000756506.html
229.00,小米（MI） ,元朗智能专营店,//item.jd.com/12355585097.html
399.00,dido F5智能通话,dido旗舰店,//item.jd.com/44493815057.html
195.00,华为（HUAWEI） 荣耀,港讯智能专营店,//item.jd.com/52882981104.html
1958.00,普利邦 智能,普利邦数码旗舰店,//item.jd.com/43833496475.html
348.00,真匠 老人电话手表定位成人智能测心率血压健康GPS定位器老年防走失走丢通话防水运动,真匠数码旗舰店,//item.jd.com/18549681070.html
289.00,华为（HUAWEI） 荣耀小K2智能儿童手表 儿童电话手表GPS定位高清通话防水手表,彪牌手机配件专营店,//item.jd.com/40108000310.html
1388.00,华为智能手表WATCH GT华为手表男女,金米数码专营店,//item.jd.com/45234515968.html
749.00,【咨询客服立减】华为荣耀手表WatchMagic智能运动,港讯智能专营店,//item.jd.com/35701048864.html
399.00,Amazfit 米动健康,AMAZFIT京东自营官方旗舰店,//item.jd.com/100006955452.html
369.00,【限时优惠40】华为,华为盈诺专营店,//item.jd.com/43293592599.html
125.00,【东家智选】乐心,乐心京东自营官方旗舰店,//item.jd.com/100001798137.html
179.00,华为荣耀,酷联数码专营店,//item.jd.com/34049866533.html
468.00,初中高中学生全网通4G电话手表插电信移动联通卡防水gps定位男孩女孩青少年智能,真盾旗舰店,//item.jd.com/54099398273.html
1980.00,瑞德罗曼 智能手表多功能测血压心率运动,瑞德罗曼数码旗舰店,//item.jd.com/40880517992.html
699.00,ADZ 健康智能,ADZ旗舰店,//item.jd.com/47620770423.html
99.00, 智能运动血压心率男女防水,亿讯数码专营店,//item.jd.com/13282430231.html
99.00,华为（HUAWEI） 智能,华为臻联专营店,//item.jd.com/19512316969.html
229.00,小米（MI） 小米,佳沪智能专营店,//item.jd.com/49866112834.html
299.00,斯泰克 血压,斯泰克（STIGER）京东自营旗舰店,//item.jd.com/100007255278.html
199.00,华为（HUAWEI） 新品荣耀,荣耀智能旗舰店,//item.jd.com/52616058004.html
199.00,360 儿童电话手表SE5智能通话GPS定位 小学生,屹林智能专营店,//item.jd.com/50195514455.html
89.00,FMJ 【自营仓次日达】 智能,FMJ旗舰店,//item.jd.com/44085318757.html
183.00,小米（MI） 米兔儿童电话手表2C女孩男孩学生手表手机通话GPS定位防水防丢,圆迈智能旗舰店,//item.jd.com/11726975656.html
229.00,dido G16 智能,Dido智能设备京东自营旗舰店,//item.jd.com/100002113677.html
399.00,dido F10智能体脂肪,dido旗舰店,//item.jd.com/48923924816.html
499.00,血压,斯泰克官方旗舰店,//item.jd.com/54803249269.html
99.00,【咨询领券】华为,华为屹林专卖店,//item.jd.com/39069670010.html
229.00,小米（MI） 小米,小米智联万物专卖店,//item.jd.com/50046018713.html
177.00,小米（MI） 米兔儿童电话手表2C女孩男孩学生手表手机通话GPS定位防水防丢,小米爆米花专卖店,//item.jd.com/54983940777.html
229.00,小米（MI） 小米,京迈数码旗舰店,//item.jd.com/50429002221.html
109.00,华为（HUAWEI） 荣耀智能,屹林宏业数码配件专营店,//item.jd.com/13343592147.html
379.00,华为,华为澳先专卖店,//item.jd.com/43271860332.html
1188.00,欧坦 【健康监护】血压房颤监测报警 智能手表老人血压手表智能,欧坦官方旗舰店,//item.jd.com/51899676209.html
398.00,华为（HUAWEI） 儿童电话手表3GPS定位拍照智能运动,中国移动物联网旗舰店,//item.jd.com/45549447082.html
7800.00,瑞德罗曼 4G智能手表男3+32G三网通WIFI上网800万像素防水运动,瑞德罗曼数码旗舰店,//item.jd.com/54822332423.html
398.00,博之轮（BOZLUN） 智能,高睿思钟表专营店,//item.jd.com/56336231418.html
328.00,穆奇 智能提醒,穆奇数码旗舰店,//item.jd.com/30268861756.html
799.00,dido R2运动,Dido智能设备京东自营旗舰店,//item.jd.com/100001956174.html
17.89,小米（MI）小米,圆讯优选旗舰店,//item.jd.com/29129227675.html
999.00,佳明（GARMIN）GPS智能运动,Garmin佳明京东自营旗舰店,//item.jd.com/6816149.html
348.00,小米（MI） 小寻儿童电话手表男孩女孩AI人工智能手表触摸屏拍照蓝牙腕带手机插卡7重定位学生运动,元朗智能专营店,//item.jd.com/26833007722.html
499.00,ADZ 彩屏智能,ADZ旗舰店,//item.jd.com/53986410702.html
229.00,小米（MI）,圆讯优选旗舰店,//item.jd.com/50253265500.html
358.00,智能运动,瑞可视京东专营店,//item.jd.com/41145371487.html
499.00,MAXTOP 智能,MAXTOP官方旗舰店,//item.jd.com/55593622919.html
379.00,dido F5 智能,Dido智能设备京东自营旗舰店,//item.jd.com/100004692008.html
599.00,真匠 老人定位电话手表电信4g通话智能测血压心率老年成人痴呆防丢防走失gps定位跟踪器健康运动,真匠数码旗舰店,//item.jd.com/18439784576.html
18888.00,华为（HUAWEI） 华为 智能手表,友信网络专营店,//item.jd.com/21878305925.html
568.00,邦克凡 智能,宠乐圈数码专营店,//item.jd.com/38692094013.html
1399.00,库宾（KUBIN） 智能手表800万像素高清摄影拍照学生可插卡打电话成人4G上网男女计步心率健康,库宾旗舰店,//item.jd.com/48566938953.html
149.00,纽曼（Newmine） 智能运动,纽曼智能京东自营旗舰店,//item.jd.com/4590832.html
189.00,华为（HUAWEI） 荣耀,利特范旗舰店,//item.jd.com/55601751355.html
1388.00,【领券减100】华为智能手表Watch GT蓝牙无线心率监测智能穿戴计步器2周续航运动,屹林智能专营店,//item.jd.com/45170147489.html
9.90,小米3,大志数码专营店,//item.jd.com/29637262906.html
229.00,小米（MI） 小米,佳沪智能专营店,//item.jd.com/49868312770.html
1588.00,【咨询领券立减】华为手表WATCH GT智能运动手表男女成人睡眠心率监测游泳防水NFC支付,江滨仁合数码专营店,//item.jd.com/47364833070.html
229.00,小米（MI） 【现货秒发】小米,明猩智能旗舰店,//item.jd.com/28768456078.html
199.00,华为荣耀,华为沃德专营店,//item.jd.com/10388273102.html
599.00,希比希 【4g全网通视频通话】儿童电话手表小学生多功能智能手机,微盈亮数码专营店,//item.jd.com/52273899517.html
398.00,青少年智能电话手表手机4g全网通可视频通话高初中学生通用小米华为苹果成人防水防摔多功能gps定位,拓珀达数码专营店,//item.jd.com/55954713571.html
,FMJ 【自营仓次日达】 智能,FMJ旗舰店,//item.jd.com/29150017885.html
1388.00,华为智能手表watch/gt游泳防水移动支付gps定位抖音同款多功能心率睡眠女士雅致款时尚蓝牙,梓豪数码专营店,//item.jd.com/51357730995.html
569.00,DMDG 智能,瑞可视京东专营店,//item.jd.com/41802772419.html
948.00,Fitbit charge3 运动智能手表 健身防水 游泳 自动锻炼识别 来电提醒 运动,Fitbit中恒信通专卖店,//item.jd.com/37457487920.html
979.00,华米GTR智能运动手表2男女腕带防水,创趣智能数码专营店,//item.jd.com/44019431408.html
1388.00,华为WATCH /GT手表智能运动GPS定位游泳防水心率压力监测移动支付多功能时尚男女活力款商务,梓豪数码专营店,//item.jd.com/51064132773.html
3289.00,卡丝拉狄（cathyladi） 运动,卡丝拉狄数码旗舰店,//item.jd.com/53580572546.html
2088.00,普利邦（PULEEBUMG） 智能,普利邦数码旗舰店,//item.jd.com/41252365327.html
229.00,华为（HUAWEI） 新款荣耀4蓝牙运动,华为果珈专卖店,//item.jd.com/37342791201.html
599.00,华为（HUAWEI） 智能运动,智辰熙数码专营店,//item.jd.com/30537649841.html
1399.00,GOBE2 自动监测 饮食摄入 运动卡路里消耗 饮水 压力 睡眠监测 心率血压 追踪,仕博达官方旗舰店,//item.jd.com/12314513284.html
