小米（MI）,小米小米手环4 NFC版XMSH08HM,100003687193,60.00g,中国大陆,单点触控,0.8-1.0英寸,支持蓝牙,来电提醒,硅胶,14-16天,彩屏,50米防水,潜水,防丢失,一年质保,不支持蓝牙通话,通用
小米（MI）,小米小米手环4XMSH07HM,100006188596,65.00g,中国大陆,单点触控,0.8-1.0英寸,支持蓝牙,来电提醒,硅胶,18-20天,彩屏,50米防水,潜水,防丢失,一年质保,不支持蓝牙通话,通用
华为（HUAWEI）,华为手环5 标准版 陨石黑,100006756254,75.00g,中国大陆,全屏触控,支持蓝牙,来电提醒,0.8-1.0英寸,硅胶,跑步，骑行,14-16天,通用,彩屏,50米防水,支持泳姿识别,不支持蓝牙通话,一年质保
华为（HUAWEI）,华为手环5 NFC版 陨石黑,100006756282,75.00g,中国大陆,全屏触控,支持蓝牙,来电提醒,0.8-1.0英寸,其他,跑步，骑行,14-16天,通用,彩屏,50米防水,支持泳姿识别,不支持蓝牙通话,一年质保
华为（HUAWEI）,华为TER-B09,100003822240,140.00g,中国大陆,多点触控,0.8-1.0英寸,支持蓝牙,来电提醒,硅胶,7天以下,彩屏,50米防水,跑步，骑行，游泳,无,一年质保,不支持蓝牙通话,通用
华为（HUAWEI）,华为Janus-B09,100006360444,245.00g,广东深圳,多点触控,1.0-1.2英寸,支持蓝牙,来电提醒,其他,7天以下,彩屏,生活防水,跑步，骑行,拍照,一年质保,支持蓝牙通话,男士，女士，老人，儿童，通用
小米（MI）,小米（MI）小米手环4,26301985127,圆讯优选旗舰店,65.00g,单点触控,0.8-1.0英寸,支持蓝牙,无,TPU,7-10天,彩屏,生活防水,不支持泳姿识别,无,来电提醒,不支持蓝牙通话,女士，通用
华为（HUAWEI）,华为华为荣耀手环4,100000018890,70.00g,中国大陆,全屏触控,支持蓝牙,跑步，骑行，游泳,消息提醒，心率监测，睡眠监测，运动计步,硅胶,通用,14-16天,彩屏,50米防水,支持泳姿识别,无,来电提醒,不支持自动调节亮度
小米（MI）,小米手环3,7545792,56.00g,中国大陆,跑步，骑行，游泳，器械训练,全屏触控,支持蓝牙,防丢失,其他,黑白屏,生活防水,18-20天,消息提醒，心率监测，睡眠监测，运动计步，久坐提醒,来电提醒,不支持蓝牙通话,男士，女士，老人，儿童，通用,0.8英寸以下
小米（MI）,小米小米米兔儿童手表2 蓝色,4279279
华为（HUAWEI）,华为（HUAWEI）WATCH GT,35162573913
小米（MI）,小米小米手环3,100000383225,85.00g,中国大陆,全屏触控,0.8英寸以下,支持蓝牙,来电提醒,其他,10-12天,黑白屏,50米防水,跑步，骑行，登山，游泳，器械训练,无,一年质保,不支持蓝牙通话,男士，女士，老人，儿童，通用
华为（HUAWEI）,华为AW70-B29,100002285538
华为（HUAWEI）,【领券直降】华为智能手表WATCH GT 两周续航 户外运动手环 实时心率 高清彩屏 NFC支付2 时尚版（钢色）+黑色皮表带+大礼包,34751132184
Keep,KeepB1,100004601380,55.00g,中国北京,21005405,多点触控,支持蓝牙,0.8-1.0英寸,来电提醒,TPU,7-10天,跑步，骑行，登山，游泳，器械训练,彩屏,50米防水,支持泳姿识别,男士，女士，通用,一年质保
华为（HUAWEI）,华为电话手表WATCH2 Pro智能手表男女成人初中高中学生4G插卡蓝牙穿戴GT运动手环 watch2 4G版 （可插卡 支持移动联通）,28938922242
华为（HUAWEI）,【领券减100】华为手环b5 智能运动手环男女蓝牙耳机可通电话手表心率睡眠穿戴压力监测 防水计步器3 曜石黑-运动版【送皮表带+大礼包】咨询送钢表带,29997056215
华为（HUAWEI）,【咨询领卷】华为手环3pro智能运动手环彩屏触控GPS定位心率监测移动支付计步苹果安卓男女防水手表 曜石黑GPS版【送表带+贴膜+充电套装+运动耳机】,43227512448
华为（HUAWEI）,【领券立减100】华为儿童电话手表3pro学生GPS定位防水智能手表4G全网通视频通话男女孩礼物手环 星云粉—【送电话卡+钢化膜+彩笔+表带+卡通吊坠】,27187085375
华为（HUAWEI）,华为（HUAWEI）HUAWEI WATCH GT,35157169282
华为（HUAWEI）,【领券立减100】华为手环b5运动智能彩屏蓝牙通话心率监测科学睡眠男女手表安卓苹果通用穿戴计步器3 摩卡棕-商务版【送皮表带+大礼包】晒单送定制钢表带,30241014257
华为（HUAWEI）,华为荣耀手环4 Running版,100000101418,70.00g,中国大陆,跑步，骑行，登山，游泳，潜水，器械训练,全屏触控,支持蓝牙,无,皮革,其他,50米防水,7天以下,消息提醒，睡眠监测，运动计步，久坐提醒,来电提醒,支持蓝牙通话,男士，女士，通用,0.8英寸以下
