time,contents
['2017-11-22 17:20:04'],['送人了不知道怎么样']
['2018-11-07 07:04:25'],"['手环质量很好', '差评是给客服的']"
['2018-05-29 11:07:46'],"['用了效果很好', '真心评价']"
['2019-03-29 15:22:03'],"['看着盒子', '希望东西是好的']"
['2019-08-31 17:54:57'],"['下载华为移动服务安装包失败', '神马东西']"
['2018-06-05 09:41:58'],"['订的时候', '货到了再看价格', '我的', '去哪里找']"
['2019-01-13 23:35:02'],"['挺好一个品牌', '没有售后可惜了']"
['2017-10-20 00:07:36'],"['手环不错', '一星给京准达', '浪费邮钱时间']"
['2018-12-06 21:09:08'],['坑的好']
['2017-10-08 14:00:07'],"['下作', '说好的支付定金得赠品', '现在却说已经发完了', '京东我看你也就这点伎俩了']"
[],"['今天看了', '便宜很多又送礼品', '在京东']"
['2018-11-16 22:29:41'],"['双十一比起', '贵还毛都没送一根']"
['2018-09-25 12:33:44'],['龙头是瘪的']
['2018-08-22 00:23:08'],"['带完手环', '出红点一片片的', '不知道安全吗', '吓人']"
['2018-01-13 17:06:51'],"['音质不错', '重量太轻', '如果是金属的就好了', '不大气时尚']"
['2019-06-24 18:23:47'],"['哎', '耳套随时都有下来的感觉', '不是哥不爱国', '是你竟跟哥耍小聪明', '省个劣质耳套', '你全年能多创收几个亿']"
['2019-05-25 08:09:31'],"['外观很给力', '使用功能照', '差远了', '建议不要购买', '买', '青春版吧', '比这个好用']"
['2019-08-18 18:21:07'],"['宝贝非常牛', '喜欢', '就是有一点延迟', '没杂音', '延迟的我以为手机卡呢']"
['2019-06-03 13:05:51'],"['东西也还可以', '就是一点买玩了之后一直有短信轰炸我', '各种贷款', '钱包']"
['2018-08-13 17:54:35'],"['很糟心的一次购物', '本来满心欢喜冲着华为', '去的', '第一时间就买下来了', '商品基本满意就是蓝牙耳机设置是真的糟心', '挂到耳朵上很容易掉下来', '今天带着听歌掉下来摔得心都碎了']"
['2018-05-12 14:37:42'],"['东西还不错', '不过手机装软件有些坑', '居然是华为全家桶没错需要装三个软件', '华为穿戴', '华为移动', '华为健康', '早知道这样就不会买它的', '不过苹果上就只用装一个穿戴']"
['2017-12-24 20:54:30'],"['没有收到', '没有收到', '没有收到']"
['2018-11-12 07:05:30'],"['买完就降价', '还不给不差价']"
['2018-05-10 11:16:13'],['买了才几天就降价']
['2018-05-10 11:16:36'],['买了才几天就降价']
['2018-04-22 00:41:27'],['为什么没有适配器和数据线']
['2018-10-11 18:43:33'],['和以前的手环有点不一样']
['2017-11-08 17:55:29'],['回家打开以后盒子是破的']
['2018-08-17 12:13:52'],['发货居然没有给发票']
['2018-10-19 19:34:54'],['带了二十天就坏了']
[],['不要信了我就上当了']
['2017-11-11 11:54:21'],"['买几天就降价了', '还不给价保']"
['2018-05-29 10:13:55'],"['有明显瑕疵处', '有小块缺陷']"
['2017-12-24 09:19:39'],"['就是个蓝牙耳机吗', '有点贵']"
['2018-11-04 22:19:22'],"['水货', '表面有摩擦痕迹', '是坏的']"
['2018-08-14 10:54:49'],"['不给我送电源头', '说好送']"
['2019-07-15 21:06:13'],['刚买回来就降价了一百']
['2017-12-23 15:29:29'],"['不是我想要的', '跟以前买的不一样']"
['2019-06-28 15:40:01'],['经常自动复位自动重启']
['2019-04-19 21:15:47'],"['质量不太好', '不值这个钱']"
['2019-07-29 11:33:31'],"['刚买了就降价', '心里不平衡啊']"
['2018-01-31 18:13:32'],"['便宜有便宜的坏处', '什么破玩意']"
['2019-05-17 10:12:06'],"['什么东西都没有送', '送个贴膜也好啊']"
['2018-11-12 20:27:38'],['不是可以同时连接两部手机吗']
['2019-01-04 08:09:39'],"['坏了', '根本不能用']"
['2019-01-12 14:52:11'],['快递里面没有礼品袋']
['2019-01-20 18:37:24'],"['晚了一天', '影响出行']"
['2019-06-13 18:03:47'],['什么时候配送完成了']
['2018-05-24 21:08:30'],"['买了两个', '一个能连上一个连不上手机']"
['2019-09-13 18:14:29'],"['刚买过就调价', '损失谁来弥补']"
['2017-11-21 17:51:04'],"['为什么里面有个女的说英语', '还听不清楚']"
['2019-06-22 11:56:33'],"['没有按要求送表带', '贴膜']"
['2019-05-25 02:36:15'],"['一直是', '怎么也充不进去电']"
['2018-09-05 15:13:34'],"['功能太少', '感觉不值这个价钱']"
['2017-10-02 18:46:01'],"['做工有点糙', '也是个贵', '砍一半差不多']"
['2019-01-09 08:28:21'],"['也就是一个蓝牙耳机', '不值这些钱']"
['2018-05-01 22:56:18'],"['买了半个月', '蓝牙连接经常自动断开']"
['2018-10-08 04:55:34'],"['其实我觉得不值这个价钱', '跟', '多的没区别']"
['2019-01-13 01:30:34'],['就一个表什么都没有赠品都没有']
['2019-01-22 11:41:34'],"['本货物不支持退化', '购买请三思']"
['2018-08-01 07:00:49'],"['压力检测无法使用', '折腾到无语退货中']"
['2018-11-12 10:50:33'],"['双十一不保价', '辣鸡', '的双十一都给退差价了']"
['2019-06-17 21:39:09'],"['快递才到就降价了', '我该说什么好呢']"
['2019-09-09 21:00:51'],"['这个东西没买几天就降价', '说实话有点小贵吧']"
['2018-02-20 17:15:41'],['不能接收微信消息和']
['2018-12-20 10:55:40'],"['和苹果一个尿性', '才发现没有']"
['2019-09-17 10:47:28'],"['感觉一般', '没有想象中的那么好']"
['2017-11-29 13:21:47'],['不好用']
['2017-12-15 20:14:45'],['信号不是很好']
['2018-07-28 12:44:04'],"['买了这个手环没有充电线和耳套', '问客服也不回应']"
['2019-05-10 15:10:15'],['用了两天说连不上就连不上想买的仅供参考']
['2018-04-03 14:18:55'],"['比较低级', '而且', '包装弃掉', '不让退', '没有把客户放首位']"
['2019-04-08 15:25:07'],"['开始的时候送的是坏的', '打电话一点都不清晰']"
['2018-07-25 16:30:37'],"['耳机塞变形比较厉害', '只能直接换备用的塞子']"
['2019-10-01 19:07:51'],"['买完就降价', '而且还有赠品', '要不要这么玩啊']"
['2019-08-28 12:16:22'],"['不支持苹果链接', '这个是最大的败笔']"
['2019-01-18 20:54:35'],"['还行吧', '刚买了就降价了', '不爽']"
